Word,RecordCount,TotalOccurrences,FirstLetter
"SOORIKIAN",1,3,"S"
"AUWARTER",1,3,"A"
"CYNTHIA",1,3,"C"
"DEIRDRE",1,3,"D"
"BUHN",1,3,"B"
"BENIN",1,3,"B"
"BLACK",1,3,"B"
"BYRNES",1,3,"B"
"BRANNON",1,3,"B"
"COFFIN",1,3,"C"
"CHERYL",1,3,"C"
"BUTLER",1,3,"B"
"DECESARE",1,3,"D"
"DRAPER",1,3,"D"
"DRIESMAN",1,3,"D"
"FOSTER",1,3,"F"
"FRESHMAN",1,3,"F"
"BLOOR",1,3,"B"
"LIISA",1,3,"L"
"HOLM",1,3,"H"
"HOWARTH",1,3,"H"
"KORTEN",1,3,"K"
"ALFONSO",1,3,"A"
"LUBRANO",1,3,"L"
"LARKIN",1,3,"L"
"LINCOLN",1,3,"L"
"LIPSCOMB",1,3,"L"
"JOSHUA",1,3,"J"
"MALDONADO",1,3,"M"
"MCLAUGHLIN",1,3,"M"
"MARQUES",1,3,"M"
"MULLANE",1,3,"M"
"MENSCHING",1,3,"M"
"MCCAFFERY",1,3,"M"
"NOLAN",1,3,"N"
"PODKOWSKY",1,3,"P"
"MARIAN",1,3,"M"
"RYPKEMA",1,3,"R"
"SIMKINS",1,3,"S"
"CLYDE",1,3,"C"
"SHENKLER",1,3,"S"
"KARAN",1,3,"K"
"TUSCHICK",1,3,"T"
"HILLARY",1,3,"H"
"TRANSUE",1,3,"T"
"JOSE",1,3,"J"
"VON",1,3,"V"
"BERNUTH",1,3,"B"
"GLEN",1,3,"G"
"ALEXANDER",1,3,"A"
"BRITT",1,3,"B"
"BAIR",1,3,"B"
"BALDWIN",1,3,"B"
"PAULA",1,3,"P"
"BARR",1,3,"B"
"STEWART",1,3,"S"
"BRUNHOUSE",1,3,"B"
"MARJORIE",1,3,"M"
"DAVIDSON",1,3,"D"
"MCQUEENY",1,3,"M"
"DAKIN",1,3,"D"
"EMSBO",1,3,"E"
"ARLEN",1,3,"A"
"MCDANIEL",1,3,"M"
"MERRITT",1,3,"M"
"WIEDENMAYER",1,2,"W"
"LYN",1,2,"L"
"HAMLIN",1,2,"H"
"BEERY",1,2,"B"
"CECELIA",1,2,"C"
"APPELBY",1,2,"A"
"CAJA",1,2,"C"
"CARY",1,2,"C"
"DONELLY",1,2,"D"
"KRUSEWKI",1,2,"K"
"MUSSER",1,2,"M"
"EVERETT",1,2,"E"
"MONTY",1,2,"M"
"LASE",1,2,"L"
"ANATOS",1,2,"A"
"DEB",1,2,"D"
"ALLISON",1,2,"A"
"MACMULLAN",1,2,"M"
"ELLLIS",1,2,"E"
